brand,features,price,rating,rating_count,link
Mi,"['4A PRO 80 cm (32) HD Ready LED Smart Android TV With Google Data Saver', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty on Product and Additional 1 Year Warranty on Panel']",12499,4.4,463724,https://www.flipkart.com/mi-4a-pro-80-cm-32-hd-ready-led-smart-android-tv-google-data-saver/p/itmfdwh5jyqhmvzg?pid=TVSFDWH5K9N2FDTK&lid=LSTTVSFDWH5K9N2FDTK9M2YF1&marketplace=FLIPKART&spotlightTagId=BestvalueId_ckf%2Fczl&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFDWH5K9N2FDTK.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Mi,"['4A 100 cm (40) Full HD LED Smart Android TV With Google Data Saver', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on TV, 2 years on Panel, 6 Months on Accessories']",17999,4.4,463724,https://www.flipkart.com/mi-4a-100-cm-40-full-hd-led-smart-android-tv-google-data-saver/p/itmaaa9224388773?pid=TVSFJRFFJVY3HG5R&lid=LSTTVSFJRFFJVY3HG5RFBHWCP&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFJRFFJVY3HG5R.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Mi,"['4A Pro 108 cm (43) Full HD LED Smart Android TV With Google Data Saver', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 3 x USB', '1 Year Warranty on Product and 1 Year Additional Warranty for Panel']",21999,4.4,463724,https://www.flipkart.com/mi-4a-pro-108-cm-43-full-hd-led-smart-android-tv-google-data-saver/p/itmfbzck4mhggxxg?pid=TVSFBZCKAVGCUCME&lid=LSTTVSFBZCKAVGCUCMETCBDCK&marketplace=FLIPKART&spotlightTagId=BestsellerId_ckf%2Fczl&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFBZCKAVGCUCME.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Samsung,"['80cm (32 inch) HD Ready LED Smart TV', 'Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Manufacturer Warranty on Product and 1 Year Additional Warranty on Panel']",13999,4.4,1676,https://www.flipkart.com/samsung-80cm-32-inch-hd-ready-led-smart-tv/p/itma5db0294e13fe?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFQXFKMHUDYCJ3.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Mi,"['4X 108 cm (43) Ultra HD (4K) LED Smart Android TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on TV, 2 years on Panel, 6 Months on Accessories']",24999,4.4,25037,https://www.flipkart.com/mi-4x-108-cm-43-ultra-hd-4k-led-smart-android-tv/p/itmab87244d2fead?pid=TVSFJRFFEWHS7RQG&lid=LSTTVSFJRFFEWHS7RQGIB1XXD&marketplace=FLIPKART&spotlightTagId=TrendingId_ckf%2Fczl&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFJRFFEWHS7RQG.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Vu,"['Premium 108cm (43 inch) Full HD LED Smart Android TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'A+ Grade High Bright Full HD Panel', '1 Year Vu Domestic Warranty']",20499,4.3,12267,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQ5LRPZU&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFZGK7BT8RCGUQ.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Vu,"['Premium 80cm (32 inch) HD Ready LED Smart Android TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'A+ Grade High Bright HD Panel', '1 Year Vu Domestic Warranty']",12499,4.3,12267,https://www.flipkart.com/vu-premium-80cm-32-inch-hd-ready-led-smart-android-tv/p/itm83652f324d15e?pid=TVSFZGK7HGHHGYGH&lid=LSTTVSFZGK7HGHHGYGH0BSTF5&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFZGK7HGHHGYGH.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
LG,"['All-in-One 80cm (32 inch) HD Ready LED Smart TV', 'Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'HD Ready 1366 x 768 Pixels', '10 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'IPS', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on panel/module']",14999,4.3,19812,https://www.flipkart.com/lg-all-in-one-80cm-32-inch-hd-ready-led-smart-tv/p/itmfhbvzmjgfd6nn?pid=TVSFHBVZASS5XA3H&lid=LSTTVSFHBVZASS5XA3HPDMTDZ&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFHBVZASS5XA3H.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Vu,"['Cinema 108cm (43 inch) Full HD LED Smart Android TV', 'Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '40 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Grade IPS Panel', '1 Year Vu Domestic Warranty']",22499,4.4,3224,https://www.flipkart.com/vu-cinema-108cm-43-inch-full-hd-led-smart-android-tv/p/itm7be3d20153b68?pid=TVSFSNGPXWFMHVKH&lid=LSTTVSFSNGPXWFMHVKHG04QGE&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFSNGPXWFMHVKH.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
Samsung,"['80cm (32 inch) HD Ready LED Smart TV with Voice Search', 'Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Manufacturer Warranty on Product and 1 Year Additional Warranty on Panel']",15999,4.3,2535,https://www.flipkart.com/samsung-80cm-32-inch-hd-ready-led-smart-tv-voice-search/p/itm95a71efacff5f?pid=TVSFQPHJPJGKQVS3&lid=LSTTVSFQPHJPJGKQVS3YLCE5H&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=70606a7b-1e67-40ca-b478-385d04907b1b.TVSFQPHJPJGKQVS3.SEARCH&ssid=9fjq3s5ulc0000001596044962973&qH=9e3cf996c5c2322b
